,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,trial_start,latency
35,RadialMaze_2023-01-12_AR_Zeus3_S1,984.1661972,59050,,,Zeus,arm_visited,arm_7,947.1662148,36.99998235
36,RadialMaze_2023-01-12_AR_Zeus3_S1,1084.999482,65100,,,Zeus,forced_choice ,arm_7,947.1662148,137.8332676
37,RadialMaze_2023-01-12_AR_Zeus3_S1,1095.516144,65731,,,Zeus,forced_choice ,arm_8,947.1662148,148.3499292
38,RadialMaze_2023-01-12_AR_Zeus3_S1,1103.049474,66183,1161.316113,69679,Zeus,trial,5,1103.049474,0
39,RadialMaze_2023-01-12_AR_Zeus3_S1,1104.61614,66277,,,Zeus,arm_visited,arm_3,1103.049474,1.566665919
40,RadialMaze_2023-01-12_AR_Zeus3_S1,1109.349471,66561,,,Zeus,arm_visited,arm_4,1103.049474,6.299996994
41,RadialMaze_2023-01-12_AR_Zeus3_S1,1113.649469,66819,,,Zeus,arm_visited,arm_5,1103.049474,10.59999494
42,RadialMaze_2023-01-12_AR_Zeus3_S1,1118.2828,67097,,,Zeus,arm_visited,arm_6,1103.049474,15.23332607
43,RadialMaze_2023-01-12_AR_Zeus3_S1,1129.349461,67761,,,Zeus,arm_visited,arm_7,1103.049474,26.29998745
44,RadialMaze_2023-01-12_AR_Zeus3_S1,1133.249459,67995,,,Zeus,arm_visited,arm_8,1103.049474,30.19998559
45,RadialMaze_2023-01-12_AR_Zeus3_S1,1139.73279,68384,,,Zeus,arm_visited,arm_1,1103.049474,36.68331583
46,RadialMaze_2023-01-12_AR_Zeus3_S1,1153.732783,69224,,,Zeus,arm_visited,arm_2,1103.049474,50.68330915
47,RadialMaze_2023-01-12_AR_Zeus3_S1,1267.866062,76072,,,Zeus,forced_choice ,arm_1,1103.049474,164.816588
48,RadialMaze_2023-01-12_AR_Zeus3_S1,1276.249391,76575,,,Zeus,forced_choice ,arm_3,1103.049474,173.1999174
49,RadialMaze_2023-01-12_AR_Zeus3_S1,1285.799387,77148,1327.616033,79657,Zeus,trial,6,1285.799387,0
50,RadialMaze_2023-01-12_AR_Zeus3_S1,1287.966052,77278,,,Zeus,arm_visited,arm_5,1285.799387,2.166665633
51,RadialMaze_2023-01-12_AR_Zeus3_S1,1291.366051,77482,,,Zeus,arm_visited,arm_6,1285.799387,5.566664011
52,RadialMaze_2023-01-12_AR_Zeus3_S1,1296.216048,77773,,,Zeus,arm_visited,arm_7,1285.799387,10.4166617
53,RadialMaze_2023-01-12_AR_Zeus3_S1,1301.149379,78069,,,Zeus,arm_visited,arm_8,1285.799387,15.34999268
54,RadialMaze_2023-01-12_AR_Zeus3_S1,1306.466043,78388,,,Zeus,arm_visited,arm_1,1285.799387,20.66665681
55,RadialMaze_2023-01-12_AR_Zeus3_S1,1311.649374,78699,,,Zeus,arm_visited,arm_7,1285.799387,25.84998767
