session,subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,block,condition,trial_num,Age,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm,first_error_position,return_to_arm,Lag_from_last_choice,adjacent_arms,total_mistakes
1,subj.14,Sepp,m,Beagle,yes,11.06.2012,21.01.2023,2,forced,2,127,6,5,1,2,3,1,8,7,6,3,3,2,1
1,subj.14,Sepp,m,Beagle,yes,11.06.2012,21.01.2023,2,forced,3,127,1,7,5,3,2,7,6,5,6,2,4,2,2
1,subj.15,Albert,m,Dansky,yes,26.06.2018,24.01.2023,1,self-ordered,1,54,6,7,4,2,8,6,4,1,6,1,5,1,2
1,subj.15,Albert,m,Dansky,yes,26.06.2018,24.01.2023,1,self-ordered,2,54,5,4,3,8,7,6,4,3,7,2,5,2,2
1,subj.15,Albert,m,Dansky,yes,26.06.2018,24.01.2023,1,self-ordered,3,54,5,3,6,7,5,3,1,8,5,1,4,1,2
1,subj.15,Albert,m,Dansky,yes,26.06.2018,24.01.2023,2,forced,1,54,8,3,4,7,6,2,1,8,8,1,7,2,1
1,subj.15,Albert,m,Dansky,yes,26.06.2018,24.01.2023,2,forced,2,54,4,6,2,4,3,6,5,7,4,1,3,1,2
1,subj.15,Albert,m,Dansky,yes,26.06.2018,24.01.2023,2,forced,3,54,2,7,5,3,7,6,5,3,5,2,3,2,3
1,subj.16,Chomsky,m,Rottweiler,yes,17.12.2015,18.01.2023,1,self-ordered,1,85,4,3,5,3,1,8,7,6,4,2,2,3,1
1,subj.16,Chomsky,m,Rottweiler,yes,17.12.2015,18.01.2023,1,self-ordered,2,85,5,6,4,2,8,5,3,1,6,1,5,1,1
1,subj.16,Chomsky,m,Rottweiler,yes,17.12.2015,18.01.2023,1,self-ordered,3,85,4,3,2,1,7,6,5,4,8,1,7,3,1
1,subj.16,Chomsky,m,Rottweiler,yes,17.12.2015,18.01.2023,2,forced,1,85,1,2,6,5,3,1,8,7,6,1,5,2,1
1,subj.16,Chomsky,m,Rottweiler,yes,17.12.2015,18.01.2023,2,forced,2,85,4,6,2,1,3,4,5,2,6,1,5,2,2
1,subj.16,Chomsky,m,Rottweiler,yes,17.12.2015,18.01.2023,2,forced,3,85,8,3,7,5,4,3,1,8,6,2,4,2,2
