"","CDL_name","sex","Number_arms","session","trial_num","condition","trial.id","choice.nr.within.trial","choice.where","choice.correct","last.choice","previous.correct","any.error.earlier","cup.id","choice.id","lag.from.last.choice","number.cups","error.ny","Age"
"164","Moon2","f",8,1,1,"self-ordered",7,5,2,1,1,"yes","0",1,46,4,4,0,14
"165","Moon2","f",8,1,1,"self-ordered",7,5,2,1,4,"yes","0",3,46,1,4,0,14
"166","Moon2","f",8,1,1,"self-ordered",7,5,2,1,3,"yes","0",6,46,2,4,0,14
"167","Moon2","f",8,1,1,"self-ordered",7,5,2,1,2,"yes","0",7,46,3,4,0,14
"168","Moon2","f",8,1,1,"self-ordered",7,6,8,1,1,"yes","0",1,47,5,5,0,14
"169","Moon2","f",8,1,1,"self-ordered",7,6,8,1,5,"yes","0",2,47,1,5,0,14
"170","Moon2","f",8,1,1,"self-ordered",7,6,8,1,4,"yes","0",3,47,2,5,0,14
"171","Moon2","f",8,1,1,"self-ordered",7,6,8,1,3,"yes","0",6,47,3,5,0,14
"172","Moon2","f",8,1,1,"self-ordered",7,6,8,1,2,"yes","0",7,47,4,5,0,14
"173","Moon2","f",8,1,1,"self-ordered",7,7,7,0,1,"yes","0",1,48,6,6,0,14
"174","Moon2","f",8,1,1,"self-ordered",7,7,7,0,5,"yes","0",2,48,2,6,0,14
"175","Moon2","f",8,1,1,"self-ordered",7,7,7,0,4,"yes","0",3,48,3,6,0,14
"176","Moon2","f",8,1,1,"self-ordered",7,7,7,0,3,"yes","0",6,48,4,6,0,14
"177","Moon2","f",8,1,1,"self-ordered",7,7,7,0,2,"yes","0",7,48,5,6,1,14
"178","Moon2","f",8,1,1,"self-ordered",7,7,7,0,6,"yes","0",8,48,1,6,0,14
"179","Moon2","f",8,1,1,"self-ordered",7,8,3,0,1,"no","1",1,49,7,6,0,14
"180","Moon2","f",8,1,1,"self-ordered",7,8,3,0,5,"no","1",2,49,3,6,0,14
"181","Moon2","f",8,1,1,"self-ordered",7,8,3,0,4,"no","1",3,49,4,6,1,14
"182","Moon2","f",8,1,1,"self-ordered",7,8,3,0,3,"no","1",6,49,5,6,0,14
"183","Moon2","f",8,1,1,"self-ordered",7,8,3,0,7,"no","1",7,49,1,6,0,14
"184","Moon2","f",8,1,1,"self-ordered",7,8,3,0,6,"no","1",8,49,2,6,0,14
"185","Moon2","f",8,1,2,"self-ordered",8,2,4,1,1,"yes","0",2,50,1,1,0,14
"186","Moon2","f",8,1,2,"self-ordered",8,3,3,1,1,"yes","0",2,51,2,2,0,14
