subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,age,block,condition,trial_num,first_arm_,second_arm_,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm
subj.26,Gandalf,m,Podenco,yes,15/07/2014,06/02/2023,102,2,forced,2,,,2,6,4,2,5,6,7,8
subj.26,Gandalf,m,Podenco,yes,15/07/2014,06/02/2023,102,2,forced,3,,,7,3,2,1,5,6,7,1
subj.27,Monty,m,Whippet,no,05/04/2022,06/02/2023,10,1,self-ordered,1,,,1,3,2,5,6,7,1,2
subj.27,Monty,m,Whippet,no,05/04/2022,06/02/2023,10,1,self-ordered,2,,,6,5,4,3,2,1,8,7
subj.27,Monty,m,Whippet,no,05/04/2022,06/02/2023,10,1,self-ordered,3,,,2,1,8,7,5,3,2,1
subj.27,Monty,m,Whippet,no,05/04/2022,06/02/2023,10,2,forced,1,,,2,5,3,2,4,6,7,8
subj.27,Monty,m,Whippet,no,05/04/2022,06/02/2023,10,2,forced,2,,,6,3,5,7,8,1,2,3
subj.27,Monty,m,Whippet,no,05/04/2022,06/02/2023,10,2,forced,3,,,7,1,6,8,2,4,5,6
subj.28,Timo2,m,Mix(SiberianHusky),no,01/09/2019,09/02/2023,41,1,forced,1,,,5,1,7,5,3,2,4,6
subj.28,Timo2,m,Mix(SiberianHusky),no,01/09/2019,09/02/2023,41,1,forced,2,,,8,3,1,2,3,2,4,6
subj.28,Timo2,m,Mix(SiberianHusky),no,01/09/2019,09/02/2023,41,1,forced,3,,,4,2,1,3,5,7,5,3
subj.28,Timo2,m,Mix(SiberianHusky),no,01/09/2019,09/02/2023,41,2,self-ordered,1,,,5,6,5,3,2,1,7,5
subj.28,Timo2,m,Mix(SiberianHusky),no,01/09/2019,09/02/2023,41,2,self-ordered,2,,,3,5,6,4,3,1,8,7
subj.28,Timo2,m,Mix(SiberianHusky),no,01/09/2019,09/02/2023,41,2,self-ordered,3,,,2,4,5,3,2,1,6,5
subj.29,Diego6,m,BorderTerrier,no,09/09/2017,09/02/2023,65,1,forced,1,,,7,4,2,5,6,3,1,7
subj.29,Diego6,m,BorderTerrier,no,09/09/2017,09/02/2023,65,1,forced,2,,,2,5,3,2,1,7,5,4
subj.29,Diego6,m,BorderTerrier,no,09/09/2017,09/02/2023,65,1,forced,3,,,3,8,2,5,6,7,2,1
subj.29,Diego6,m,BorderTerrier,no,09/09/2017,09/02/2023,65,2,self-ordered,1,,,5,7,1,7,3,1,8,2
subj.29,Diego6,m,BorderTerrier,no,09/09/2017,09/02/2023,65,2,self-ordered,2,,,4,5,6,8,2,3,7,1
subj.29,Diego6,m,BorderTerrier,no,09/09/2017,09/02/2023,65,2,self-ordered,3,,,3,5,7,1,2,8,1,3
subj.30,Ylvie,f,DeutscherPinscher,yes,02/03/2020,13/02/2023,35,1,forced,1,,,2,7,6,2,5,6,8,3
subj.30,Ylvie,f,DeutscherPinscher,yes,02/03/2020,13/02/2023,35,1,forced,2,,,5,3,5,4,2,1,7,6
subj.30,Ylvie,f,DeutscherPinscher,yes,02/03/2020,13/02/2023,35,1,forced,3,,,5,3,8,7,6,5,3,2
subj.30,Ylvie,f,DeutscherPinscher,yes,02/03/2020,13/02/2023,35,2,self-ordered,1,,,1,3,5,3,2,8,6,4
subj.30,Ylvie,f,DeutscherPinscher,yes,02/03/2020,13/02/2023,35,2,self-ordered,2,,,8,7,6,5,3,2,1,7
subj.30,Ylvie,f,DeutscherPinscher,yes,02/03/2020,13/02/2023,35,2,self-ordered,3,,,8,6,5,3,2,1,8,7
subj.31,Freeda,f,Kokoni,yes,25/12/2021,09/02/2023,13,1,forced,1,,,3,6,5,1,2,5,4,3
subj.31,Freeda,f,Kokoni,yes,25/12/2021,09/02/2023,13,1,forced,2,,,2,4,1,6,5,1,2,6
subj.31,Freeda,f,Kokoni,yes,25/12/2021,09/02/2023,13,1,forced,3,,,7,5,3,5,1,2,3,2
subj.31,Freeda,f,Kokoni,yes,25/12/2021,09/02/2023,13,2,self-ordered,1,,,1,3,1,6,4,2,1,3
subj.31,Freeda,f,Kokoni,yes,25/12/2021,09/02/2023,13,2,self-ordered,2,,,5,8,1,3,5,6,8,1
subj.31,Freeda,f,Kokoni,yes,25/12/2021,09/02/2023,13,2,self-ordered,3,,,1,5,2,1,4,2,1,3
subj.32,Mailo,m,Mix,yes,09/07/2015,09/02/2023,91,1,forced,1,,,6,2,6,3,2,1,8,7
subj.32,Mailo,m,Mix,yes,09/07/2015,09/02/2023,91,1,forced,2,,,7,4,3,2,8,7,6,4
subj.32,Mailo,m,Mix,yes,09/07/2015,09/02/2023,91,1,forced,3,,,5,3,6,3,2,1,8,7
subj.32,Mailo,m,Mix,yes,09/07/2015,09/02/2023,91,2,self-ordered,1,,,5,3,2,1,8,7,6,5
subj.32,Mailo,m,Mix,yes,09/07/2015,09/02/2023,91,2,self-ordered,2,,,1,8,7,6,5,3,2,1
subj.32,Mailo,m,Mix,yes,09/07/2015,09/02/2023,91,2,self-ordered,3,,,1,8,7,6,5,3,2,1
subj.33,Zuzu,f,"Mix(Windhund,LabradorRetriever)",yes,06/11/2020,17/02/2023,27,1,forced,1,,,3,6,2,1,3,1,1,2
subj.33,Zuzu,f,"Mix(Windhund,LabradorRetriever)",yes,06/11/2020,17/02/2023,27,1,forced,2,,,2,7,1,4,3,1,8,6
subj.33,Zuzu,f,"Mix(Windhund,LabradorRetriever)",yes,06/11/2020,17/02/2023,27,1,forced,3,,,5,8,1,2,3,4,1,7
subj.33,Zuzu,f,"Mix(Windhund,LabradorRetriever)",yes,06/11/2020,17/02/2023,27,2,self-ordered,1,,,1,2,3,4,5,6,4,3
subj.33,Zuzu,f,"Mix(Windhund,LabradorRetriever)",yes,06/11/2020,17/02/2023,27,2,self-ordered,2,,,2,1,7,6,5,4,3,1
subj.33,Zuzu,f,"Mix(Windhund,LabradorRetriever)",yes,06/11/2020,17/02/2023,27,2,self-ordered,3,,,3,2,1,8,6,5,4,2
subj.34,Lea3,f,ParsonRussellTerrier,yes,30/08/2014,17/02/2023,101,1,forced,2,,,6,3,5,7,1,2,4,5
subj.34,Lea3,f,ParsonRussellTerrier,yes,30/08/2014,17/02/2023,101,1,forced,3,,,5,1,2,6,1,3,5,7
subj.34,Lea3,f,ParsonRussellTerrier,yes,30/08/2014,17/02/2023,101,2,self-ordered,1,,,2,3,7,2,3,4,6,8
