subj,CDL_name,sex,breed,neutering_status,birth_date,test_date,block,condition,trial_num,first_arm_,second_arm_,first_arm,sec_arm,third_arm,fourth_arm,fifth_arm,sixth_arm,sevth_arm,eigth_arm
subj.58,Anubis3,m,ItalianGreyhound,no,15.04.2018,,1,self-ordered,2,,,6,5,4,1,7,6,4,2
subj.58,Anubis3,m,ItalianGreyhound,no,15.04.2018,,1,self-ordered,3,,,7,6,4,2,1,8,7,6
subj.58,Anubis3,m,ItalianGreyhound,no,15.04.2018,,2,forced,1,,,1,7,5,3,2,1,7,5
subj.58,Anubis3,m,ItalianGreyhound,no,15.04.2018,,2,forced,2,,,4,6,8,6,4,1,2,1
subj.58,Anubis3,m,ItalianGreyhound,no,15.04.2018,,2,forced,3,,,5,3,7,8,7,3,1,7
subj.52,Ace3,m,BorderCollie,yes,15.03.2019,,1,self-ordered,1,,,5,8,1,3,5,8,1,3
subj.52,Ace3,m,BorderCollie,yes,15.03.2019,,1,self-ordered,2,,,4,5,6,2,3,5,7,1
subj.52,Ace3,m,BorderCollie,yes,15.03.2019,,1,self-ordered,3,,,5,7,2,5,7,2,3,5
subj.52,Ace3,m,BorderCollie,yes,15.03.2019,,2,forced,1,,,6,1,6,4,5,7,1,2
subj.52,Ace3,m,BorderCollie,yes,15.03.2019,,2,forced,2,,,4,2,7,8,1,2,3,4
subj.52,Ace3,m,BorderCollie,yes,15.03.2019,,2,forced,3,,,3,7,5,1,2,3,4,5
subj.53,Dante4,m,Eurasier,yes,14.02.2023,,1,self-ordered,1,,,5,3,2,1,8,7,6,5
subj.53,Dante4,m,Eurasier,yes,14.02.2023,,1,self-ordered,2,,,5,7,6,4,3,2,1,8
subj.53,Dante4,m,Eurasier,yes,14.02.2023,,1,self-ordered,3,,,7,6,5,3,2,1,8,7
subj.53,Dante4,m,Eurasier,yes,14.02.2023,,2,forced,1,,,6,3,7,6,4,3,2,8
subj.53,Dante4,m,Eurasier,yes,14.02.2023,,2,forced,2,,,8,5,3,2,8,7,6,5
subj.53,Dante4,m,Eurasier,yes,14.02.2023,,2,forced,3,,,2,7,6,5,4,3,2,8
subj.54,Reni,f,Mix(Shepherd),yes,01.04.2018,,1,forced,1,,,1,3,5,7,5,3,2,1
subj.54,Reni,f,Mix(Shepherd),yes,01.04.2018,,1,forced,2,,,2,4,5,7,6,1,3,2
subj.54,Reni,f,Mix(Shepherd),yes,01.04.2018,,1,forced,3,,,8,5,4,3,2,1,8,7
subj.54,Reni,f,Mix(Shepherd),yes,01.04.2018,,2,self-ordered,1,,,1,8,6,4,3,1,8,7
subj.54,Reni,f,Mix(Shepherd),yes,01.04.2018,,2,self-ordered,2,,,1,4,3,6,7,8,1,4
subj.54,Reni,f,Mix(Shepherd),yes,01.04.2018,,2,self-ordered,3,,,1,8,6,4,2,1,8,6
subj.55,Tenya,f,CollieRough,yes,13.03.2016,,1,forced,1,,,2,6,7,8,1,2,3,4
subj.55,Tenya,f,CollieRough,yes,13.03.2016,,1,forced,2,,,8,4,5,6,7,8,2,3
subj.55,Tenya,f,CollieRough,yes,13.03.2016,,1,forced,3,,,5,1,8,6,5,2,3,4
subj.55,Tenya,f,CollieRough,yes,13.03.2016,,2,self-ordered,1,,,6,7,8,2,3,4,5,6
subj.55,Tenya,f,CollieRough,yes,13.03.2016,,2,self-ordered,2,,,2,3,8,6,5,1,7,8
subj.55,Tenya,f,CollieRough,yes,13.03.2016,,2,self-ordered,3,,,2,3,4,5,6,7,8,1
"subj,23",Nala13,f,ShepherdMix,no,01.05.2020,,1,self-ordered,1,,,2,3,2,4,6,2,3,7
"subj,23",Nala13,f,ShepherdMix,no,01.05.2020,,1,self-ordered,2,,,3,2,8,7,6,5,4,3
"subj,23",Nala13,f,ShepherdMix,no,01.05.2020,,1,self-ordered,3,,,6,5,4,2,8,7,6,5
"subj,23",Nala13,f,ShepherdMix,no,01.05.2020,,2,forced,1,,,7,5,4,2,1,8,7,6
"subj,23",Nala13,f,ShepherdMix,no,01.05.2020,,2,forced,2,,,4,1,6,5,3,2,8,7
"subj,23",Nala13,f,ShepherdMix,no,01.05.2020,,2,forced,3,,,8,3,6,5,4,2,7,6
subj.44,Lilo3,f,DwarfPoodle,yes,18.06.2021,,1,forced,1,,,7,1,3,4,2,1,8,7
subj.44,Lilo3,f,DwarfPoodle,yes,18.06.2021,,1,forced,2,,,4,8,5,3,2,1,8,7
