ID,Subject,trial_number,Trial start,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,condition,first_error_position,return_to_arm,Lag_from_last_choice,time_delay,return_delay,means,time_delay_adjusted,time_fe,time_fe_after,time_fe_before
72,Goofy2,6,1140.782816,1156.266142,1161.649473,1167.982804,1178.949466,1186.982795,1205.132787,1213.866116,1220.866113,1228.56611,self-ordered,7,1,6,57.599974,57.599974,10.01041213,5.754006257,6.999997,6.999997,8.733329
73,Hero,1,299.5,314.5833333,348.5166667,376.7833333,414.0666667,433.8666667,479.0666667,490.9,506.5833333,#N/A,self-ordered,4,1,3,99.4833334,99.4833334,25.88541666,3.843219319,19.8,19.8,37.2833334
74,Hero,2,606.3833333,618.1333333,624.7666667,630.95,638.1166667,645.1333333,654.5333333,665.5666667,677.0666667,#N/A,self-ordered,9,#N/A,#N/A,#N/A,#N/A,8.835416675,#N/A,#N/A,#N/A,#N/A
75,Hero,3,764.5666667,775.4333333,781.35,788.7833333,795.2,810,816.8833333,827.2166667,836.1,843.15,self-ordered,8,1,7,60.6666667,60.6666667,8.941666663,6.784715757,7.05,7.05,8.8833333
76,Hero,4,1014.016667,1019.483333,1029,1042.566667,1049.166667,1058.05,1071.9,1079.883333,1086.283333,#N/A,forced,7,2,5,60.4,50.883333,9.03333325,6.686346925,6.4,6.4,7.983333
77,Hero,5,1178.95,1182.85,1195.716667,1210.133333,1215.916667,1222.466667,1235.266667,1242.283333,1254.016667,#N/A,forced,3,1,2,27.283333,27.283333,9.383333375,2.907637607,5.783334,5.783334,14.416666
78,Hero,6,1343.083333,1349.483333,1361.366667,1375.45,1381.6,1390.233333,1398.783333,1406.316667,1415.783333,#N/A,forced,9,#N/A,#N/A,#N/A,#N/A,9.0875,#N/A,#N/A,#N/A,#N/A
79,Honey,1,342.6332439,355.6332405,365.3665713,379.0332344,406.4165606,438.3998855,464.0998788,496.766537,561.4498534,#N/A,forced,8,1,7,205.8166129,205.8166129,27.35207619,7.524716277,#N/A,#N/A,64.6833164
80,Honey,2,649.9331637,656.0331621,663.2498268,670.7164916,693.149819,706.7664821,727.5664767,747.9164714,757.5664689,#N/A,forced,7,2,5,91.8833093,84.6666446,13.45416315,6.829358933,9.6499975,9.6499975,20.3499947
81,Honey,3,837.2497814,844.4164462,849.9831114,857.5664428,865.1164408,873.499772,881.7331031,891.3497673,899.5497651,#N/A,forced,7,3,4,46.9333211,33.7833245,7.787497963,6.02675228,8.1999978,8.1999978,9.6166642
82,Honey,4,976.5830784,984.349743,992.2164076,999.1164058,1006.78307,1021.3164,1029.033065,1037.166396,1044.916394,#N/A,self-ordered,8,1,7,60.566651,60.566651,8.54166445,7.090731713,#N/A,#N/A,7.749998
83,Honey,5,1122.93304,1130.783038,1136.499703,1143.233035,1150.9497,1158.016364,1165.866362,1178.699692,1187.04969,#N/A,self-ordered,9,#N/A,#N/A,#N/A,#N/A,8.01458125,#N/A,#N/A,#N/A,#N/A
84,Honey,6,1261.833004,1269.499669,1276.033,1284.966331,1293.116329,1301.19966,1307.799659,1314.83299,1324.982987,#N/A,self-ordered,9,#N/A,#N/A,#N/A,#N/A,7.893747875,#N/A,#N/A,#N/A,#N/A
85,Io,1,331.2,346.25,368.0833333,393.05,412.95,434.25,458.3,472.7333333,488.1,#N/A,self-ordered,6,1,5,112.05,112.05,19.6125,5.713193117,14.4333333,14.4333333,24.05
86,Io,2,594.95,605.1666667,610.6833333,619.1,625.65,636.7,642.0333333,648.8666667,658.6,#N/A,self-ordered,5,3,2,31.5333333,17.6,7.95625,3.963341185,5.3333333,5.3333333,11.05
87,Io,3,772.35,784.2833333,790.1166667,796.6666667,810,821.3666667,828.4166667,836.3666667,849.25,855.9,self-ordered,8,4,4,64.9666667,39.25,9.6125,6.758560905,6.65,6.65,12.8833333
88,Io,4,1027.583333,1044.95,1053.316667,1063.5,1067.933333,1072.366667,1078.816667,1084.6,1094.883333,1099.983333,forced,6,2,4,33.866667,25.5,8.4125,4.025755364,5.783333,5.783333,6.45
89,Io,5,1181.1,1199.733333,1211.7,1222.133333,1226,1233.366667,1236.183333,1245.566667,1251.966667,1255.683333,forced,7,1,6,45.833334,45.833334,8.858333375,5.174035799,6.4,6.4,9.383334
90,Io,6,1343.25,1360.466667,1364.083333,1376.05,1383.666667,1387.266667,1393.383333,1399.116667,1403.333333,1409.083333,forced,5,1,4,26.8,26.8,7.510416625,3.568377274,6.116666,6.116666,3.6
91,Jay2,1,424,437.5833333,448.05,490.65,512.1833333,536.7,575.65,593.5333333,606.1,652.6166667,self-ordered,8,4,4,168.5166667,93.9166667,22.7625,7.403258284,46.5166667,46.5166667,12.5666667
92,Jay2,2,746.0333333,782.1666667,894.8,930.75,998.6,1015.2,1050.216667,1068.4,1111.016667,#N/A,self-ordered,7,1,6,286.2333333,286.2333333,45.62291671,6.273893778,42.616667,42.616667,18.183333
93,Jay2,3,1230.216667,1309.566667,1322.383333,1355.083333,1396.066667,1502.516667,1544.583333,1587.016667,1639.55,#N/A,self-ordered,5,1,4,192.95,192.95,51.16666663,3.771009775,42.066666,42.066666,106.45
94,Jay2,4,1815.033333,1824.283333,1837.483333,1859.816667,1873,1895.95,1906.183333,1921.066667,1939.016667,1974.733333,forced,3,2,1,35.533334,22.333334,15.49791675,2.292781318,13.183333,13.183333,22.333334
95,Jay2,5,2078.383333,2089.55,2108.483333,2136.116667,2149.883333,2161.533333,2175.716667,2191.466667,2220.066667,#N/A,forced,4,1,3,60.333333,60.333333,17.71041675,3.406658005,11.65,11.65,13.766666
96,Jay2,6,2308.366667,2321.583333,2328.65,2368.716667,2383.183333,2403.05,2414.033333,2455.966667,2483.583333,#N/A,forced,7,5,2,134.383334,52.916667,21.90208325,6.13564164,27.616666,27.616666,41.933334
97,Jimi,1,250.1833333,261.4666667,281.8666667,286.8333333,293.8833333,310.4,320.0666667,335.4333333,#N/A,#N/A,forced,6,4,2,58.6,26.1833334,12.17857143,4.811730205,15.3666666,15.3666666,9.6666667
